"","point","pair","Lat","Lon"
"1","Adelaide","A",-34.56,138.31
"2","Adelaide","B",-34.56,138.31
"3","Adelaide","C",-34.56,138.31
"4","Adelaide","D",-34.56,138.31
"5","Adelaide","E",-34.56,138.31
"6","Brisbane","F",-27.23,153.6
"7","Brisbane","G",-27.23,153.6
"8","Brisbane","H",-27.23,153.6
"9","Brisbane","I",-27.23,153.6
"10","Brisbane","J",-27.23,153.6
"11","Canberra","K",-35.18,149.11
"12","Canberra","L",-35.18,149.11
"13","Darwin","M",-12.24,130.52
"14","Darwin","N",-12.24,130.52
"15","Hobart","O",-42.5,147.3
"16","Hobart","P",-42.5,147.3
"17","Melbourne","Q",-37.4,144.5
"18","Melbourne","R",-37.4,144.5
"19","Perth","S",-31.56,115.57
"20","Darwin","T",-12.24,130.52
"21","Brisbane","U",-27.23,153.6
"22","Brisbane","A",-27.23,153.6
"23","Canberra","B",-35.18,149.11
"24","Melbourne","C",-37.4,144.5
"25","Perth","D",-31.56,115.57
"26","Sydney","E",-33.56,151.1
"27","Canberra","F",-35.18,149.11
"28","Darwin","G",-12.24,130.52
"29","Melbourne","H",-37.4,144.5
"30","Perth","I",-31.56,115.57
"31","Sydney","J",-33.56,151.1
"32","Melbourne","K",-37.4,144.5
"33","Sydney","L",-33.56,151.1
"34","Melbourne","M",-37.4,144.5
"35","Perth","N",-31.56,115.57
"36","Melbourne","O",-37.4,144.5
"37","Sydney","P",-33.56,151.1
"38","Perth","Q",-31.56,115.57
"39","Sydney","R",-33.56,151.1
"40","Sydney","S",-33.56,151.1
"41","Sydney","T",-33.56,151.1
"42","Hobart","U",-42.5,147.3
